Date,MSCIEAFE
10/7/22,1693.58
10/6/22,1718.36
10/5/22,1725.97
10/4/22,1743.61
10/3/22,1676.54
9/30/22,1661.48
9/29/22,1655.31
9/28/22,1654.25
9/27/22,1656.28
9/26/22,1659.81
9/23/22,1688.02
9/22/22,1734.01
9/21/22,1757.96
9/20/22,1772.27
9/19/22,1783.86
9/16/22,1788.6
9/15/22,1806.03
9/14/22,1816.43
9/13/22,1838.44
9/12/22,1876.43
9/9/22,1838.8
9/8/22,1800.52
9/7/22,1780.96
9/6/22,1793.63
9/5/22,1802.23
9/2/22,1823.46
9/1/22,1790.17
8/31/22,1840.5
8/30/22,1847.99
8/29/22,1850.12
8/26/22,1882.33
8/25/22,1898.45
8/24/22,1889.69
8/23/22,1890.94
8/22/22,1897.04
8/19/22,1919.5
8/18/22,1946.51
8/17/22,1948.84
8/16/22,1961.45
8/15/22,1966.73
8/12/22,1963.88
8/11/22,1970.07
8/10/22,1968.54
8/9/22,1932
8/8/22,1944.19
8/5/22,1924.07
8/4/22,1941.71
8/3/22,1923.94
8/2/22,1934.68
8/1/22,1957.62
7/29/22,1937.26
7/28/22,1915.34
7/27/22,1886.87
7/26/22,1884.17
7/25/22,1892.5
7/22/22,1897.38
7/21/22,1881.36
7/20/22,1878.23
7/19/22,1872.94
7/18/22,1847.23
7/15/22,1817.05
7/14/22,1784.89
7/13/22,1823.1
7/12/22,1827.58
7/11/22,1829.19
7/8/22,1849.48
7/7/22,1840.83
7/6/22,1813
7/5/22,1805.62
7/4/22,1850.29
7/1/22,1832.34
6/30/22,1846.28
6/29/22,1873.48
6/28/22,1892.35
6/27/22,1896.13
6/24/22,1874.19
6/23/22,1837.39
6/22/22,1850.69
6/21/22,1858.12
6/20/22,1842.38
6/17/22,1823.08
6/16/22,1847.03
6/15/22,1858.63
6/14/22,1847.36
6/13/22,1877.83
6/10/22,1934.2
6/9/22,1992.38
6/8/22,2026.78
6/7/22,2029.95
6/6/22,2040.1
6/3/22,2029.06
6/2/22,2032.45
6/1/22,2021.94
5/31/22,2037.87
5/30/22,2063.2
5/27/22,2035.83
5/26/22,2010.46
5/25/22,1996.36
5/24/22,1995.71
5/23/22,2004.71
5/20/22,1969.24
5/19/22,1958.61
5/18/22,1973.11
5/17/22,1981.59
5/16/22,1946.43
5/13/22,1942.38
5/12/22,1909.42
5/11/22,1938.43
5/10/22,1918.87
5/9/22,1914.94
5/6/22,1972.82
5/5/22,1993.23
5/4/22,2004.93
5/3/22,2016.51
5/2/22,2006.33
4/29/22,2033.7
4/28/22,2012.6
4/27/22,2002.9
4/26/22,2019.97
4/25/22,2039.91
4/22/22,2081.96
4/21/22,2126.64
4/20/22,2127.03
4/19/22,2094.81
4/18/22,2107.2
4/15/22,2115.99
4/14/22,2118.51
4/13/22,2113.9
4/12/22,2113.28
4/11/22,2126.86
4/8/22,2139.56
4/7/22,2126.57
4/6/22,2141.33
4/5/22,2176.49
4/4/22,2182.74
4/1/22,2171.14
