Date,MSCIEM
10/7/22,897.74
10/6/22,910.57
10/5/22,909.52
10/4/22,893.65
10/3/22,876.15
9/30/22,875.79
9/29/22,873.29
9/28/22,875.85
9/27/22,891.89
9/26/22,888.58
9/23/22,905.84
9/22/22,922.61
9/21/22,932.08
9/20/22,946.17
9/19/22,938.53
9/16/22,944.12
9/15/22,958.58
9/14/22,962.55
9/13/22,979.91
9/12/22,979.05
9/9/22,970.29
9/8/22,957.22
9/7/22,956.51
9/6/22,965.24
9/5/22,967.8
9/2/22,972.02
9/1/22,976.14
8/31/22,994.11
8/30/22,992.76
8/29/22,991.65
8/26/22,1006.5
8/25/22,1003.44
8/24/22,985.13
8/23/22,989.54
8/22/22,991.9
8/19/22,1001.46
8/18/22,1009.58
8/17/22,1015.59
8/16/22,1014.22
8/15/22,1015
8/12/22,1016.83
8/11/22,1014.29
8/10/22,997.2
8/9/22,1001.69
8/8/22,1001.79
8/5/22,1002.87
8/4/22,994.59
8/3/22,985.81
8/2/22,984.32
8/1/22,995.04
7/29/22,993.78
7/28/22,997.61
7/27/22,989.89
7/26/22,989.92
7/25/22,987.08
7/22/22,990.37
7/21/22,990.69
7/20/22,986.56
7/19/22,979.94
7/18/22,980.52
7/15/22,961.85
7/14/22,965.45
7/13/22,970.46
7/12/22,967.31
7/11/22,981.15
7/8/22,999.57
7/7/22,994.34
7/6/22,981.01
7/5/22,991.47
7/4/22,992.8
7/1/22,992.84
6/30/22,1000.67
6/29/22,1013.2
6/28/22,1030.07
6/27/22,1027.55
6/24/22,1011.18
6/23/22,995.34
6/22/22,993.59
6/21/22,1016.98
6/20/22,1000.42
6/17/22,1004.63
6/16/22,1008.11
6/15/22,1020.1
6/14/22,1017.87
6/13/22,1016.46
6/10/22,1054.64
6/9/22,1067.15
6/8/22,1073.74
6/7/22,1061.02
6/6/22,1071.33
6/3/22,1060.74
6/2/22,1061.44
6/1/22,1067.86
5/31/22,1077.67
5/30/22,1065.09
5/27/22,1043.17
5/26/22,1022.96
5/25/22,1019.59
5/24/22,1016.99
5/23/22,1034.51
5/20/22,1035.31
5/19/22,1014.89
5/18/22,1033.18
5/17/22,1030.83
5/16/22,1007.5
5/13/22,1004.52
5/12/22,987.82
5/11/22,1011.22
5/10/22,1007.22
5/9/22,1014.68
5/6/22,1031.5
5/5/22,1058.72
5/4/22,1063.84
5/3/22,1069.24
5/2/22,1072.56
4/29/22,1076.19
4/28/22,1053.82
4/27/22,1043.74
4/26/22,1049.39
4/25/22,1046.04
4/22/22,1075.6
4/21/22,1086.93
4/20/22,1095.63
4/19/22,1096
4/18/22,1106.68
4/15/22,1112.9
4/14/22,1117.36
4/13/22,1119.32
4/12/22,1110.4
4/11/22,1111.76
4/8/22,1127.93
4/7/22,1126.06
4/6/22,1142.5
4/5/22,1156.75
4/4/22,1161.65
4/1/22,1145.85
3/31/22,1141.79
3/30/22,1149.3
3/29/22,1136.45
3/28/22,1124.82
3/25/22,1125.01
3/24/22,1136.95
3/23/22,1140.72
3/22/22,1131.41
3/21/22,1115.26
3/18/22,1004.52
3/17/22,1120.93
3/16/22,1081
3/15/22,1026.77
3/14/22,1055.01
3/11/22,1085.66
3/10/22,1102.74
3/9/22,1090.67
3/8/22,1096.05
3/7/22,1107.3
3/4/22,1144.91
3/3/22,1172.56
3/2/22,1168.41
3/1/22,1176.43
2/28/22,1171.31
2/25/22,1171.99
2/24/22,1154.86
2/23/22,1206.86
2/22/22,1206.63
2/21/22,1219.46
2/18/22,1231.77
2/17/22,1242.92
2/16/22,1244.19
2/15/22,1229.05
2/14/22,1220.42
2/11/22,1240.51
2/10/22,1251.09
2/9/22,1239.79
2/8/22,1219.8
2/7/22,1219.33
2/4/22,1221.1
2/3/22,1210.27
2/2/22,1213.23
2/1/22,1214.01
1/31/22,1208.23
1/28/22,1191.14
1/27/22,1192.06
1/26/22,1211.45
1/25/22,1210.45
1/24/22,1222.16
1/21/22,1244.31
1/20/22,1255.74
1/19/22,1239.83
1/18/22,1241.58
1/17/22,1254.4
1/14/22,1257.46
1/13/22,1263.3
1/12/22,1267.34
1/11/22,1243.04
1/10/22,1232.27
1/7/22,1226.1
1/6/22,1217.07
1/5/22,1222.74
1/4/22,1234.95
1/3/22,1233.5
12/31/21,1232.01
12/30/21,1222.75
12/29/21,1217.93
12/28/21,1227.12
12/27/21,1221.76
12/24/21,1220.55
12/23/21,1219.59
12/22/21,1209.88
12/21/21,1203.66
12/20/21,1190.08
12/17/21,1216.3
12/16/21,1223.89
12/15/21,1214.5
12/14/21,1222.1
12/13/21,1230.61
12/10/21,1238.54
12/9/21,1247.71
12/8/21,1241.01
12/7/21,1235.56
12/6/21,1213.96
12/3/21,1224.64
12/2/21,1236.19
12/1/21,1226.81
11/30/21,1212.42
11/29/21,1218.99
11/26/21,1223.13
11/25/21,1254.69
11/24/21,1253.15
11/23/21,1255.39
11/22/21,1261.56
11/19/21,1269.22
11/18/21,1273.87
11/17/21,1286.87
11/16/21,1290.55
11/15/21,1286.82
11/12/21,1285.48
11/11/21,1281.4
11/10/21,1274.39
11/9/21,1272.95
11/8/21,1268.82
11/5/21,1264.07
11/4/21,1268.45
11/3/21,1262.46
11/2/21,1263.96
11/1/21,1264.54
10/29/21,1264.75
10/28/21,1276.07
10/27/21,1282.89
10/26/21,1296.06
10/25/21,1297.26
10/22/21,1293.14
10/21/21,1293
10/20/21,1301.13
10/19/21,1294.57
10/18/21,1283.02
10/15/21,1283.67
10/14/21,1266.67
10/13/21,1260.23
10/12/21,1253.63
10/11/21,1265.65
10/8/21,1257.04
10/7/21,1253.28
10/6/21,1227.13
10/5/21,1236.51
10/4/21,1236.41
10/1/21,1246.6
9/30/21,1253.1
9/29/21,1251.28
9/28/21,1260.89
9/27/21,1267.36
9/24/21,1265.1
9/23/21,1272.52
9/22/21,1262.79
9/21/21,1261.4
9/20/21,1258.23
9/17/21,1279.35
9/16/21,1276.78
9/15/21,1288.68
9/14/21,1296.15
